genus_species,genus,species,subspecies,phylum,class,order,family,group,lifespan,source,notes,larval_realm
Satyrium liparops,Satyrium,liparops,,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Butterflies,unk,,,terrestrial
Asterocampa celtis,Asterocampa,celtis,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,165,"Stokes et al., 1991;Gochfeld & Burger, 1997","overwinters as larva, occasionally adult ",terrestrial
Euphydryas gilletti,Euphydryas,gilletti,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,730,"Williams, 1984",,terrestrial
Nymphalis antiopa,Nymphalis,antiopa,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,330,"Lee, 2015",average 11 mo,terrestrial
Phyciodes tharos,Phyciodes,tharos,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,143,"Stokes et al., 1991",overwinters as larva,terrestrial
Polygonia comma,Polygonia,comma,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,170,"Stokes et al., 1991;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.484.8891&rep=rep1&type=pdf",overwinter as adults ,terrestrial
Polygonia interrogationis,Polygonia,interrogationis,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,170,"Stokes et al., 1991;Lee, 2015",overwinters ,terrestrial
Speyeria cybele,Speyeria,cybele,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,254.75,"James, 2008","3-5 week adult reproductive diapause after eclosion, overwinter as first instar (365/4)",terrestrial
Vanessa atalanta,Vanessa,atalanta,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,406,"Smyth & Nash, 2008","eggs Nov, hatched May, 29 day pupation, 197 days adult life",terrestrial
Papilio cresphontes,Papilio,cresphontes,,Arthropoda,Insecta,Lepidoptera,Papilionidae,Butterflies,144,"Tremblay, 2020",overwintering pupae,terrestrial
Papilio glaucus,Papilio,glaucus,,Arthropoda,Insecta,Lepidoptera,Papilionidae,Butterflies,162,"Stokes et al., 1991; Hagen & Lederhouse, 1984",overwinters as pupa,terrestrial
Colias eurytheme,Colias,eurytheme,,Arthropoda,Insecta,Lepidoptera,Pieridae,Butterflies,149,"Stokes et al., 1991;Schweitzer, 2006",overwinters as second instar or pupa,terrestrial
Colias philodice,Colias,philodice,,Arthropoda,Insecta,Lepidoptera,Pieridae,Butterflies,149,"Stokes et al., 1991;Stanton & Cook, 1983",overwinters as third instar larvae,terrestrial
Pieris rapae,Pieris,rapae,,Arthropoda,Insecta,Lepidoptera,Pieridae,Butterflies,149,"Stokes et al., 1991;Richards, 1940",overwinters as pupa,terrestrial
Megisto cymela,Megisto,cymela,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,168,"Stokes et al., 1991; Courard-Hauri et al., 2006",overwinters 4th instar ,terrestrial
Orgyia leucostigma,Orgyia,leucostigma,,Arthropoda,Insecta,Lepidoptera,Erebidae,Moths,unk,,,terrestrial
Apis mellifera,Apis,mellifera,,Arthropoda,Insecta,Hymenoptera,Apidae,Bees,320,"Ribbands, 1955",worker,terrestrial
Xylocopa virginiana,Xylocopa,virginiana,,Arthropoda,Insecta,Hymenoptera,Apidae,Bees,730,"Gerling & Hermann, 1978",,terrestrial
Boisea trivittata,Boisea,trivittata,,Arthropoda,Insecta,Hemiptera,Rhopalidae,Insects,365,ADW,,terrestrial
Mycetophila sp.,Mycetophila,sp.,,NA,NA,NA,NA,Insects,NA,NA,not classified to species level,terrestrial
