gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2557303219,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:707957,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31031,-126.06511,100,,,,851,0,2006-08-12T00:00:00,12,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:36:57.208Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557302926,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:705021,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31051,-126.06549,100,,,,860,0,2006-08-15T00:00:00,15,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:10.079Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557295944,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:705295,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.30892,-126.06152,100,,,,891,0,2009-08-05T00:00:00,5,8,2009,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:10.086Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557290466,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:705022,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31109,-126.06562,100,,,,866,0,2006-08-15T00:00:00,15,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:10.102Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557290463,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:704997,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31051,-126.06588,100,,,,863,0,2009-07-14T00:00:00,14,7,2009,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:10.102Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557272972,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:677014,Animalia,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Heterochone,Heterochone calyx,,SPECIES,Heterochone calyx (Schulze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557272097,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:680474,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.3089,-126.06149,100,,,,891,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:09.886Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557049062,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246712,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557048641,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246709,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047928,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246348,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047911,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246711,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047732,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246343,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047529,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246713,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047504,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246707,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047322,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:245986,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047259,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246708,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047226,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246347,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047206,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246350,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047167,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246706,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557047125,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246345,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557046864,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246344,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557046674,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246349,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557046591,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246710,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557046433,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:245985,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
